NAME_0,rs_1,rs_2,rs_3,rs_4,rs_5,rs_6,rs_7,NAME
Uganda,.19469164,.15923198,.063255236,.02790536,.12548213,.1493948,.017160632,Uganda
Ukraine,.71656513,.29161301,.15548623,.089434586,.3038547,.08670871,,Ukraine
United Arab Emirates,.55699581,.23629035,.3092038,.30255172,.47830567,.30776241,,United Arab Emirates
United Kingdom,.28990167,.23377788,.065087162,.02231656,.27730185,.14211495,.036879998,United Kingdom
United States of America,.68478084,.20934685,.34103855,.22209491,.47150946,.18555298,,United States of America
Uruguay,.72976482,.43446848,.30042431,.11200495,.44869947,.14761347,,Uruguay
Uzbekistan,.42275545,.23388965,.14343715,.08417324,.12715155,.18162394,,Uzbekistan
Venezuela,.74936771,.47024447,.32015434,.085094154,.49106559,.19564246,.11834433,Venezuela
Vietnam,.21439786,.19605465,.088980988,.03041295,.088330381,.10818484,.037234828,Vietnam
Yemen,.75317901,.48751488,.29836023,.035387982,.47768131,.054735672,.12618478,Yemen
Zambia,.37202188,.12190191,.054243162,.048916046,.098868854,.12196814,.11861524,Zambia
Zimbabwe,.65077192,.32054788,.3367894,.11297331,.4316231,.14264642,.1429244,Zimbabwe
eSwatini,.65468371,.55693704,.47574496,.16763268,.53824776,.23278409,.38013276,eSwatini
